"","china_platform","first_salvo"
"23","""22"",5,3,1,1,2,2,1,2,""us"",0.75,0.7,0.34,0.02","us"
"24","""23"",4,1,2,1,3,2,2,2,""china"",0.19,0.28,0.91,0.45","us"
"25","""24"",18,4,2,1,3,1,1,2,""china"",0.17,0.05,0.54,1","us"
"26","""25"",16,3,1,1,2,1,2,2,""us"",0.67,0.08,0.55,0.73","us"
"27","""26"",21,7,1,1,3,1,1,2,""china"",0.46,0.56,0.11,0.84","us"
"28","""27"",22,5,2,1,3,2,2,2,""china"",0.88,0.36,0.45,0.36","us"
"29","""28"",18,4,2,1,2,2,2,2,""us"",0.36,0.66,0.24,0.5","us"
"30","""29"",18,2,1,1,3,2,2,2,""china"",0.97,0.47,0.04,0.6","us"
"31","""30"",6,5,2,1,2,3,1,2,""us"",0.87,0.98,0.19,0.36","us"
"32","""31"",10,8,1,1,1,2,2,2,""china"",0.05,0.8,0.26,0.75","us"
"33","""32"",3,2,2,1,2,2,1,2,""china"",0.4,0.04,0.32,0.2","us"
"34","""33"",23,6,1,1,1,2,1,2,""china"",0.36,0.86,0.68,0.07","us"
"35","""34"",29,7,2,1,3,2,1,2,""us"",0.66,0.75,0.84,0.67","us"
"36","""35"",26,9,1,1,1,3,1,2,""china"",0.99,0.72,0.26,0.18","us"
"37","""36"",22,7,2,1,3,2,1,2,""us"",0.08,0.96,0.22,0.13","us"
"38","""37"",7,6,2,1,1,2,1,2,""china"",0.72,0.89,0.5,0.96","us"
"39","""38"",14,5,1,1,3,2,2,2,""china"",0.28,0.94,0.98,0.39","us"
"40","""39"",17,9,1,1,2,1,2,2,""china"",0.51,0.56,0.99,0.79","us"
"41","""40"",23,7,1,1,3,2,1,2,""china"",0.39,0.36,0.68,0.39","us"
"42","""41"",27,8,1,1,3,1,1,2,""china"",0.47,0.25,0.51,0.54","us"
"43","""42"",29,4,2,1,2,2,2,2,""us"",0.09,0.94,0.97,0.21","us"
"44","""43"",15,6,1,1,2,3,1,2,""china"",0.16,0.22,0.95,0.68","us"
"45","""44"",7,8,1,1,2,3,2,2,""us"",0.07,0.61,0.23,0.9","us"
"46","""45"",27,3,1,1,1,1,1,2,""china"",0.89,0.79,0.75,0.25","us"
"47","""46"",3,2,2,1,3,2,2,2,""us"",0.38,0.9,0.14,0.07","us"
"48","""47"",5,10,1,1,3,2,2,2,""us"",0.13,0.7,0.29,0.25","us"
"49","""48"",14,8,1,1,3,3,1,2,""us"",0.35,0.92,0.38,0.46","us"
"50","""49"",18,3,2,1,2,1,2,2,""china"",0.58,0.4,0.67,0.36","us"
"51","""50"",16,6,2,1,2,2,1,2,""us"",0.02,0.01,0.48,0.97","us"
"52","""51"",28,2,2,1,2,3,2,2,""us"",0.9,0.02,0.47,0.21","us"
"53","""52"",12,4,1,1,2,1,2,2,""us"",0.68,0.76,0.35,0.36","us"
"54","""53"",21,9,2,1,1,2,1,2,""china"",0.72,0.96,0.46,0.96","us"
"55","""54"",29,3,2,1,2,3,2,2,""china"",0.16,0.55,0.22,0.08","us"
"56","""55"",11,1,1,1,1,2,2,2,""us"",0.58,0.91,0.96,0.33","us"
"57","""56"",10,3,1,1,3,1,2,2,""us"",0.44,0.99,0.23,0.03","us"
"58","""57"",28,3,2,1,2,1,1,2,""china"",0.71,0.51,0.59,0.93","us"
"59","""58"",7,4,2,1,1,1,2,2,""us"",0.93,0.2,0.69,0.43","us"
"60","""59"",25,2,2,1,2,2,1,2,""china"",0.12,0.41,0.69,0.31","us"
"61","""60"",24,2,2,1,2,3,2,2,""china"",0.84,0.23,0.18,0.2","us"
"62","""61"",18,10,2,1,2,3,2,2,""china"",0.55,0.06,0.7,0.64","us"
"63","""62"",26,7,1,1,2,3,2,2,""china"",0.47,0.22,0.54,0.78","us"
"64","""63"",28,3,1,1,3,2,1,2,""us"",0.8,0.1,0.42,0.43","us"
"65","""64"",10,9,1,1,3,3,2,2,""china"",0.32,0.76,0.88,0.06","us"
"66","""65"",18,2,1,1,3,3,1,2,""china"",0.03,0.33,0.89,0.35","us"
"67","""66"",23,8,1,1,2,3,1,2,""us"",0.47,0.08,0.06,0.01","us"
"68","""67"",13,9,1,1,3,2,1,2,""us"",0.42,0.89,0.73,0.3","us"
"69","""68"",3,2,1,1,3,2,1,2,""us"",0.88,0.05,0.61,0.91","us"
"70","""69"",22,7,2,1,2,3,1,2,""us"",0.98,0.1,0.18,0.1","us"
"71","""70"",23,7,2,1,2,2,1,2,""china"",0.95,0.95,0.95,0.9","us"
"72","""71"",26,8,2,1,2,2,1,2,""china"",0.72,0.42,0.2,0.44","us"
"73","""72"",15,10,1,1,2,2,2,2,""china"",0.29,0.23,0.75,0.63","us"
"74","""73"",10,1,1,1,1,2,1,2,""us"",0.19,0.49,0.87,0.81","us"
"75","""74"",11,4,1,1,2,2,1,2,""us"",0.33,0.36,0.36,0.54","us"
"76","""75"",28,7,2,1,2,2,2,2,""china"",0.63,0.54,0.35,0.9","us"
"77","""76"",19,6,1,1,2,2,2,2,""us"",0.14,0.44,0.89,0.46","us"
"78","""77"",7,5,2,1,3,2,2,2,""china"",0.23,0.56,0.31,0.86","us"
"79","""78"",19,4,1,1,1,1,1,2,""china"",0.39,0.31,0.19,0.88","us"
"80","""79"",23,8,2,1,2,1,1,2,""china"",0.48,0.63,0.8,0.8","us"
"81","""80"",12,7,2,1,2,2,1,2,""us"",0.59,0.06,0.29,0.09","us"
"82","""81"",12,3,2,1,2,2,2,2,""us"",0.77,0.8,0.11,0.79","us"
"83","""82"",12,2,2,1,1,2,1,2,""us"",0.07,0.12,0.56,0.91","us"
"84","""83"",28,9,2,1,2,1,1,2,""china"",0.32,0.68,0.69,0.54","us"
"85","""84"",17,2,1,1,2,2,2,2,""china"",0.06,0.19,0.53,0.15","us"
"86","""85"",15,7,2,1,3,1,2,2,""us"",0.12,0.58,0.68,0.02","us"
"87","""86"",17,4,1,1,2,3,1,2,""us"",0.05,0.24,0.63,0.16","us"
"88","""87"",8,3,2,1,1,2,2,2,""china"",0.92,0.63,0.27,0.6","us"
"89","""88"",9,2,1,1,2,3,2,2,""china"",0.8,0.28,0.49,0.91","us"
"90","""89"",16,7,1,1,1,2,1,2,""us"",0.95,0.88,0.58,0.35","us"
"91","""90"",12,6,1,1,1,2,2,2,""china"",0.81,0.49,0.56,0.59","us"
"92","""91"",30,7,1,1,2,1,2,2,""us"",0.31,0.85,0.67,0.98","us"
"93","""92"",28,9,1,1,1,3,2,2,""china"",0.44,0.45,0.22,0.05","us"
"94","""93"",8,5,1,1,2,3,1,2,""us"",0.41,0.05,0.64,0.16","us"
"95","""94"",20,6,1,1,2,3,1,2,""china"",0.55,0.64,0.71,0.47","us"
"96","""95"",15,2,2,1,2,2,1,2,""china"",0.83,0.17,0.67,0.4","us"
"97","""96"",13,8,1,1,3,2,2,2,""china"",0.33,0.3,0.34,0.92","us"
"98","""97"",23,7,2,1,2,2,2,2,""china"",0.75,0.46,0.85,0.02","us"
"99","""98"",21,8,2,1,3,1,1,2,""china"",0.45,0.99,0.02,0.61","us"
"100","""99"",15,2,2,1,2,2,2,2,""us"",0.49,0.28,0.1,0.76","us"
"101","""100"",10,7,2,1,2,3,2,2,""us"",0.56,0.78,0.96,0.54","us"
"102","""101"",15,4,2,1,2,3,2,2,""us"",0.78,0.17,0.13,0.31","us"
"103","""102"",7,2,1,1,1,1,2,2,""china"",0.31,0.91,0.47,0.58","us"
"104","""103"",11,9,2,1,3,2,1,2,""china"",0.58,0.44,0.31,0.72","us"
"105","""104"",8,8,1,1,2,3,1,2,""us"",0.41,0.37,0.33,0.01","us"
"106","""105"",16,4,1,1,3,1,1,2,""us"",0.66,0.18,0.88,0.22","us"
"107","""106"",6,8,2,1,1,1,2,2,""china"",0.22,0.55,0.71,0.09","us"
"108","""107"",16,4,2,1,2,2,2,2,""us"",0.45,0.88,0.03,0.66","us"
"109","""108"",9,5,2,1,1,2,1,2,""us"",0.3,0.45,0.06,0.92","us"
"110","""109"",29,7,2,1,2,1,2,2,""china"",0.61,0.14,0.25,0.11","us"
"111","""110"",2,5,2,1,1,3,1,2,""china"",0.4,0.58,0.51,0.61","us"
"112","""111"",8,6,2,1,1,3,1,2,""us"",0.25,0.91,0.51,0.36","us"
"113","""112"",23,6,1,1,1,3,2,2,""us"",0.44,0.3,0.22,0.84","us"
"114","""113"",14,4,1,1,1,2,1,2,""china"",0.75,0.45,0.83,0.47","us"
"115","""114"",7,5,2,1,1,2,2,2,""us"",0.87,0.1,0.56,0.17","us"
"116","""115"",2,10,2,1,3,3,1,2,""china"",0.64,0.66,0.91,0.44","us"
"117","""116"",8,1,2,1,3,2,1,2,""us"",0.31,0.15,0.06,0.67","us"
"118","""117"",29,8,2,1,3,1,1,2,""us"",0.18,0.59,0.15,0.67","us"
"119","""118"",12,6,1,1,2,2,1,2,""china"",0.97,0.03,0.13,0.5","us"
"120","""119"",18,4,2,1,3,3,2,2,""china"",0.44,0.8,0.49,0.29","us"
"121","""120"",19,10,2,1,3,3,1,2,""us"",0.43,0.49,0.97,0.43","us"
"122","""121"",27,8,2,1,3,2,2,2,""china"",0.46,0.01,0.45,0.01","us"
"123","""122"",3,6,2,1,2,2,1,2,""china"",0.76,0.32,0.61,0.56","us"
"124","""123"",8,5,2,1,2,2,2,2,""china"",0.71,0.41,0.08,0.32","us"
"125","""124"",23,4,2,1,2,2,1,2,""us"",0.14,0.72,0.83,0.39","us"
"126","""125"",4,4,2,1,3,3,2,2,""china"",0.03,0.72,0.52,0.95","us"
"127","""126"",19,9,2,1,2,1,1,2,""china"",0.6,0.46,0.32,0.43","us"
"128","""127"",25,3,2,1,1,3,2,2,""us"",0.17,0.79,0.94,0.73","us"
"129","""128"",9,8,2,1,2,2,2,2,""china"",0.7,0.17,0.21,0.7","us"
"130","""129"",4,9,1,1,2,2,2,2,""china"",0.99,0.27,0.56,0.79","us"
"131","""130"",20,5,1,1,2,1,2,2,""us"",0.73,0.59,0.41,0.98","us"
"132","""131"",22,3,2,1,3,2,1,2,""us"",0.29,0.37,0.89,0.03","us"
"133","""132"",23,2,2,1,3,1,2,2,""china"",1,0.72,0.36,0.57","us"
"134","""133"",5,1,2,1,3,2,2,2,""us"",0.03,0.6,0.48,0.24","us"
"135","""134"",26,5,1,1,3,2,1,2,""china"",0.76,0.82,0.24,0.34","us"
"136","""135"",5,5,1,1,1,2,1,2,""china"",0.02,0.57,0.03,0.87","us"
"137","""136"",21,2,2,1,2,1,2,2,""us"",0.25,0.39,0.04,0.53","us"
"138","""137"",2,7,1,1,2,1,1,2,""us"",0.63,0.71,0.71,0.56","us"
"139","""138"",20,4,1,1,2,2,2,2,""us"",0.25,0.17,0.27,0.72","us"
"140","""139"",15,4,1,1,2,3,1,2,""china"",0.7,0.39,0.53,0.58","us"
"141","""140"",23,9,1,1,3,2,1,2,""china"",0.35,0.57,0.21,0.61","us"
"142","""141"",24,4,1,1,1,1,1,2,""us"",0.81,0.99,0.67,0.28","us"
"143","""142"",5,9,2,1,2,2,1,2,""us"",0.23,0.6,0.44,0.37","us"
"144","""143"",23,7,2,1,1,2,2,2,""china"",0.6,0.83,0.66,0.52","us"
"145","""144"",3,1,2,1,2,2,1,2,""us"",0.68,0.34,0.34,0.77","us"
"146","""145"",12,2,2,1,2,2,2,2,""us"",0.54,0.27,0.87,0.69","us"
"147","""146"",11,6,1,1,1,1,1,2,""us"",0.08,0.38,0.78,0.91","us"
"148","""147"",17,7,2,1,2,2,2,2,""us"",0.56,0.04,0.01,0.74","us"
"149","""148"",10,8,1,1,2,2,2,2,""us"",0.75,0.46,0.87,0.78","us"
"150","""149"",4,7,2,1,2,2,1,2,""china"",0.74,0.71,0.58,0.33","us"
"151","""150"",22,2,1,1,1,3,2,2,""us"",0.05,0.75,0.75,0.46","us"
"152","""151"",5,7,1,1,2,3,1,2,""us"",0.2,0.4,0.24,0.84","us"
"153","""152"",14,10,1,1,2,3,1,2,""us"",0.32,0.47,0.6,0.87","us"
"154","""153"",23,5,1,1,1,1,2,2,""china"",0.98,0.75,0.57,0.32","us"
"155","""154"",5,3,2,1,2,1,2,2,""china"",0.98,0.22,0.23,0.03","us"
"156","""155"",8,5,1,1,2,1,2,2,""china"",0.29,0.69,0.3,0.21","us"
"157","""156"",3,7,1,1,1,2,1,2,""us"",0.57,0.51,0.47,0.04","us"
"158","""157"",4,10,2,1,2,1,1,2,""china"",0.79,0.31,0.2,0.58","us"
"159","""158"",24,8,1,1,1,2,1,2,""us"",0.91,0.35,0.41,0.21","us"
"160","""159"",2,5,2,1,1,3,2,2,""china"",0.72,0.9,0.86,0.99","us"
"161","""160"",12,5,1,1,2,2,2,2,""us"",0.73,0.5,0.99,0.14","us"
"162","""161"",25,8,2,1,1,2,1,2,""us"",0.83,0.43,0.46,0.68","us"
"163","""162"",29,8,1,1,2,2,1,2,""us"",1,0.25,0.33,0.8","us"
"164","""163"",29,10,2,1,2,2,1,2,""us"",0.09,0.34,0.9,0.09","us"
"165","""164"",16,2,2,1,3,2,2,2,""us"",0.85,0.74,0.01,0.65","us"
"166","""165"",20,7,2,1,2,2,1,2,""china"",0.58,0.54,0.35,0.12","us"
"167","""166"",3,10,1,1,2,1,2,2,""china"",0.76,0.28,0.15,0.69","us"
"168","""167"",29,5,2,1,2,2,2,2,""us"",0.29,0.65,0.72,0.51","us"
"169","""168"",9,2,2,1,2,3,1,2,""us"",0.78,0.18,0.36,0.61","us"
"170","""169"",29,7,2,1,3,2,2,2,""china"",0.47,0.32,0.42,0.38","us"
"171","""170"",16,6,1,1,1,2,1,2,""china"",0.14,0.44,0.44,0.92","us"
"172","""171"",6,5,2,1,1,3,1,2,""us"",0.29,0.94,0.31,0.23","us"
"173","""172"",5,4,2,1,3,1,2,2,""china"",0.9,0.73,0.27,0.73","us"
"174","""173"",20,2,1,1,1,2,1,2,""china"",0.17,0.13,0.94,0.68","us"
"175","""174"",13,4,2,1,2,2,2,2,""us"",0.64,0.05,0.8,0.99","us"
"176","""175"",6,2,1,1,2,3,1,2,""china"",0.67,0.48,0.33,0.33","us"
"177","""176"",18,7,1,1,3,3,2,2,""us"",0.97,0.31,0.2,0.81","us"
"178","""177"",26,8,1,1,1,3,1,2,""china"",0.47,0.89,0.54,0.12","us"
"179","""178"",17,4,2,1,3,2,1,2,""us"",0.06,0.94,0.52,0.69","us"
"180","""179"",20,2,2,1,1,2,1,2,""china"",0.43,0.79,0.61,0.04","us"
"181","""180"",20,7,1,1,1,2,2,2,""us"",0.39,0.58,0.73,0.03","us"
"182","""181"",18,9,1,1,3,3,1,2,""us"",0.74,0.7,0.95,0.95","us"
"183","""182"",22,5,2,1,1,3,2,2,""china"",0.09,0.13,0.39,0.11","us"
"184","""183"",6,9,2,1,1,2,1,2,""us"",0.78,0.59,0.99,0.59","us"
"185","""184"",25,9,1,1,3,3,2,2,""us"",0.5,0.06,0.58,0.3","us"
"186","""185"",19,9,2,1,2,2,2,2,""china"",0.13,0.68,0.1,0.32","us"
"187","""186"",4,6,2,1,3,2,2,2,""china"",0.27,0.29,0.66,0.49","us"
"188","""187"",28,6,1,1,1,2,1,2,""us"",0.37,0.21,0.83,0.25","us"
"189","""188"",3,6,1,1,2,3,1,2,""china"",0.71,0.03,0.62,0.77","us"
"190","""189"",9,6,2,1,1,3,2,2,""china"",0.21,0.57,0.82,0.2","us"
"191","""190"",18,6,2,1,3,3,2,2,""china"",0.89,0.3,0.28,0.93","us"
"192","""191"",8,5,2,1,1,1,1,2,""us"",0.41,0.15,0.79,0.57","us"
"193","""192"",27,5,2,1,1,1,2,2,""us"",0.11,0.67,0.17,0.97","us"
"194","""193"",21,7,2,1,1,2,2,2,""us"",0.61,0.19,0.26,0.04","us"
"195","""194"",18,8,2,1,3,2,1,2,""us"",0.53,0.33,0.53,0.92","us"
"196","""195"",8,1,1,1,2,2,2,2,""us"",0.57,0.33,0.97,0.31","us"
"197","""196"",22,2,1,1,2,3,1,2,""us"",0.56,0.73,0.48,0.76","us"
"198","""197"",13,6,2,1,1,3,1,2,""china"",0.37,0.11,0.55,0.24","us"
"199","""198"",18,3,2,1,2,1,2,2,""china"",0.23,0.16,0.92,0.19","us"
"200","""199"",12,6,2,1,2,1,1,2,""china"",0.3,0.48,0.21,0.78","us"
"201","""200"",5,9,2,1,1,2,2,2,""china"",0.52,0.9,0.18,0.28","us"
"202","""201"",4,7,1,1,3,2,1,2,""china"",0.06,0.42,0.21,0.13","us"
"203","""202"",2,5,2,1,1,3,2,2,""china"",0.2,0.92,0.65,0.82","us"
"204","""203"",11,9,2,1,1,3,1,2,""china"",0.03,0.89,0.24,0.4","us"
"205","""204"",4,3,1,1,2,1,1,2,""china"",0.85,0.45,0.56,0.6","us"
"206","""205"",27,3,2,1,2,1,2,2,""us"",0.64,0.64,0.07,0.72","us"
"207","""206"",22,3,2,1,3,2,1,2,""china"",0.31,0.84,0.88,0.61","us"
"208","""207"",30,10,1,1,2,2,2,2,""us"",0.88,0.95,0.84,0.04","us"
"209","""208"",2,2,2,1,2,2,2,2,""china"",0.06,0.62,0.66,0.22","us"
"210","""209"",17,6,2,1,2,2,2,2,""us"",0.15,0.24,0.5,0.98","us"
"211","""210"",26,4,1,1,3,2,1,2,""china"",0.34,0.53,0.45,0.7","us"
"212","""211"",5,6,1,1,3,2,1,2,""china"",0.57,0.5,0.9,0.29","us"
"213","""212"",25,8,1,1,1,3,1,2,""us"",0.95,0.46,0.92,0.41","us"
"214","""213"",5,5,2,1,2,2,2,2,""us"",0.23,0.97,0.91,0.57","us"
"215","""214"",16,5,1,1,2,1,2,2,""us"",0.24,0.65,0.08,0.03","us"
"216","""215"",10,5,1,1,1,2,2,2,""us"",0.1,0.35,0.32,0.66","us"
"217","""216"",27,2,1,1,1,3,1,2,""us"",0.46,0.62,0.26,0.14","us"
"218","""217"",6,9,2,1,1,2,1,2,""china"",0.86,0.49,0.7,0.1","us"
"219","""218"",19,6,2,1,2,1,2,2,""us"",0.7,0.13,0.77,0.33","us"
"220","""219"",17,3,2,1,2,3,2,2,""china"",0.91,0.8,0.46,0.15","us"
"221","""220"",29,5,1,1,2,1,2,2,""us"",0.41,0.52,0.05,0.42","us"
"222","""221"",19,7,2,1,3,3,1,2,""china"",0.92,0.5,0.83,0.29","us"
"223","""222"",26,7,1,1,2,1,2,2,""china"",0.46,0.76,0.58,0.62","us"
"224","""223"",27,9,2,1,2,3,2,2,""china"",0.22,0.64,0.25,0.23","us"
"225","""224"",19,5,1,1,2,2,2,2,""us"",0.66,0.56,0.7,0.63","us"
"226","""225"",23,3,1,1,1,2,1,2,""us"",0.85,0.6,0.17,0.55","us"
"227","""226"",4,6,1,1,1,1,2,2,""china"",0.6,0.07,0.18,0.42","us"
"228","""227"",19,10,1,1,1,2,1,2,""china"",0.83,0.87,0.78,0.53","us"
"229","""228"",3,6,1,1,3,1,1,2,""china"",1,0.37,0.41,0.75","us"
"230","""229"",29,8,2,1,2,2,1,2,""china"",0.49,0.78,0.22,0.7","us"
"231","""230"",5,3,1,1,2,2,1,2,""us"",0.06,0.3,0.89,0.39","us"
"232","""231"",19,7,1,1,3,3,2,2,""china"",0.16,0.4,0.51,0.42","us"
"233","""232"",22,9,2,1,3,2,1,2,""china"",0.93,0.13,0.17,0.64","us"
"234","""233"",21,5,2,1,3,2,2,2,""us"",0.69,0.26,0.6,0.74","us"
"235","""234"",9,3,1,1,1,2,1,2,""us"",0.89,0.84,0.47,0.75","us"
"236","""235"",6,7,1,1,1,2,2,2,""us"",0.07,0.52,0.93,0.38","us"
"237","""236"",9,1,1,1,3,2,2,2,""us"",0.51,0.24,0.43,0.9","us"
"238","""237"",28,9,2,1,3,3,2,2,""china"",0.55,0.07,0.77,0.21","us"
"239","""238"",11,8,2,1,3,2,1,2,""us"",0.26,0.71,0.65,0.05","us"
"240","""239"",22,2,1,1,2,2,2,2,""us"",0.58,0.66,0.74,0.85","us"
"241","""240"",18,7,1,1,2,2,2,2,""us"",0.71,0.82,0.67,0.46","us"
"242","""241"",26,8,1,1,2,2,2,2,""us"",0.63,0.38,0.86,0.63","us"
"243","""242"",14,3,1,1,2,1,1,2,""us"",0.3,0.96,0.98,0.29","us"
"244","""243"",16,6,1,1,3,3,2,2,""china"",0.08,0.73,0.16,0.94","us"
"245","""244"",8,8,1,1,3,1,2,2,""us"",0.24,0.92,0.97,0.1","us"
"246","""245"",6,1,2,1,2,1,1,2,""china"",0.53,0.53,0.81,0.85","us"
"247","""246"",19,1,1,1,2,2,1,2,""us"",0.35,0.74,0.3,0.63","us"
"248","""247"",11,5,1,1,1,1,2,2,""china"",0.19,0.67,0.4,0.67","us"
"249","""248"",11,9,2,1,1,1,1,2,""china"",0.5,0.35,0.59,0.83","us"
"250","""249"",7,3,1,1,1,2,1,2,""china"",0.93,0.11,0.31,0.65","us"
"251","""250"",26,9,2,1,1,1,2,2,""us"",0.04,0.93,0.46,0.49","us"
"252","""251"",26,2,2,1,3,3,1,2,""china"",0.25,0.35,0.36,0.32","us"
"253","""252"",6,6,1,1,1,2,1,2,""china"",0.89,0.81,0.75,0.24","us"
"254","""253"",25,8,2,1,1,1,2,2,""china"",0.92,0.11,0.42,0.2","us"
"255","""254"",7,2,2,1,2,2,1,2,""us"",0.53,0.12,0.05,0.55","us"
"256","""255"",13,4,1,1,2,2,1,2,""china"",0.16,0.97,0.63,0.05","us"
"257","""256"",10,7,2,1,3,3,1,2,""china"",0.81,0.87,0.66,0.3","us"
"258","""257"",9,4,2,1,2,2,1,2,""china"",0.36,0.18,0.06,0.8","us"
"259","""258"",18,3,2,1,2,3,2,2,""china"",0.51,0.9,0.41,0.86","us"
"260","""259"",14,8,1,1,2,3,1,2,""china"",0.11,0.09,0.43,0.85","us"
"261","""260"",10,6,1,1,3,2,2,2,""us"",0.43,0.82,0.8,0.12","us"
"262","""261"",12,6,1,1,3,2,2,2,""china"",0.54,0.4,0.9,0.53","us"
"263","""262"",15,3,1,1,3,1,1,2,""us"",0.68,0.14,0.72,0.34","us"
"264","""263"",15,7,2,1,2,3,1,2,""china"",0.28,0.14,0.89,0.27","us"
"265","""264"",12,7,1,1,1,3,1,2,""china"",0.6,0.96,0.37,0.26","us"
"266","""265"",25,5,2,1,3,1,1,2,""china"",0.6,0.13,0.94,0.1","us"
"267","""266"",27,5,1,1,2,2,2,2,""us"",0.36,0.28,0.52,0.55","us"
"268","""267"",26,6,2,1,2,2,2,2,""china"",0.5,0.29,0.69,0.47","us"
"269","""268"",13,10,2,1,2,2,1,2,""china"",0.73,0.72,0.16,0.68","us"
"270","""269"",22,7,2,1,3,2,1,2,""china"",0.39,0.35,0.1,0.97","us"
"271","""270"",12,9,1,1,2,1,1,2,""china"",0.59,0.29,0.43,0.66","us"
"272","""271"",27,5,1,1,2,2,1,2,""us"",0.93,0.44,0.02,0.39","us"
"273","""272"",25,9,2,1,1,2,2,2,""china"",0.62,0.39,0.86,0.87","us"
"274","""273"",25,6,2,1,2,1,1,2,""us"",0.73,0.99,0.76,0.72","us"
"275","""274"",24,5,2,1,1,3,2,2,""china"",0.01,0.51,0.75,0.34","us"
"276","""275"",15,2,2,1,3,2,1,2,""us"",0.65,0.1,0.81,0.52","us"
"277","""276"",26,6,1,1,2,2,2,2,""china"",0.22,0.85,0.55,0.64","us"
"278","""277"",12,3,2,1,1,2,1,2,""china"",0.26,0.03,0.52,0.69","us"
"279","""278"",27,8,2,1,2,2,2,2,""china"",0.27,0.95,0.04,0.37","us"
"280","""279"",4,3,2,1,3,1,2,2,""us"",0.54,0.8,0.15,0.76","us"
"281","""280"",15,7,2,1,2,1,1,2,""us"",0.37,0.68,0.55,0.86","us"
"282","""281"",3,6,1,1,1,2,2,2,""us"",0.78,0.69,0.58,0.96","us"
"283","""282"",3,2,1,1,1,2,1,2,""china"",0.94,0.62,0.84,0.08","us"
"284","""283"",17,6,1,1,3,2,1,2,""china"",0.91,0.16,0.63,0.6","us"
"285","""284"",6,5,1,1,2,2,2,2,""china"",0.26,0.04,0.3,0.02","us"
"286","""285"",7,8,2,1,2,2,1,2,""us"",0.65,0.53,0.72,0.97","us"
"287","""286"",8,8,1,1,1,3,1,2,""china"",0.59,0.5,0.72,0.04","us"
"288","""287"",18,7,1,1,3,1,2,2,""china"",0.68,0.79,0.39,0.45","us"
"289","""288"",11,1,2,1,2,2,2,2,""us"",0.31,0.61,0.45,0.24","us"
"290","""289"",14,10,1,1,3,2,2,2,""china"",0.37,0.11,0.54,1","us"
"291","""290"",25,3,1,1,1,2,1,2,""china"",0.51,0.93,0.18,0.19","us"
"292","""291"",6,5,2,1,1,3,2,2,""china"",0.99,0.12,0.73,0.95","us"
"293","""292"",20,8,1,1,1,2,1,2,""us"",0.11,0.02,0.33,0.06","us"
"294","""293"",16,7,2,1,2,2,1,2,""china"",0.49,0.66,0.81,0.9","us"
"295","""294"",16,9,1,1,2,2,2,2,""us"",0.7,0.66,0.14,0.75","us"
"296","""295"",18,9,2,1,2,3,1,2,""china"",0.18,0.61,0.85,0.43","us"
"297","""296"",13,2,1,1,1,2,2,2,""us"",0.08,0.59,0.19,0.59","us"
"298","""297"",22,7,1,1,2,3,2,2,""us"",0.12,0.43,0.77,0.71","us"
"299","""298"",20,1,1,1,1,1,2,2,""us"",0.39,0.47,0.49,0.48","us"
"300","""299"",29,2,1,1,2,3,1,2,""us"",0.07,0.2,0.05,0.48","us"
"301","""300"",5,8,1,1,2,1,2,2,""us"",0.33,0.16,0.24,0.17","us"
"302","""301"",22,3,2,1,2,1,1,2,""us"",0.77,0.42,0.39,0.83","us"
