"","china_platform","us_platform","china_staying_power","us_staying_power","china_defense","us_defense","china_offense","us_offense","first_salvo","china_scouting","us_scouting","china_ready","us_ready","outcome_china","outcome_us","iter"
"25",16,3,1,1,2,1,2,2,"us",0.67,0.08,0.55,0.73,"33.28","-41.1352","1"
"26",21,7,1,1,3,1,1,2,"china",0.46,0.56,0.11,0.84,"34.6276","-5.98","1"
"27",22,5,2,1,3,2,2,2,"china",0.88,0.36,0.45,0.36,"49.5508","-35.28","1"
"28",18,4,2,1,2,2,2,2,"us",0.36,0.66,0.24,0.5,"21","-11.12","1"
"29",18,2,1,1,3,2,2,2,"china",0.97,0.47,0.04,0.6,"48.8488","-30.52","1"
"30",6,5,2,1,2,3,1,2,"us",0.87,0.98,0.19,0.36,"5.18","-0.3466","1"
"31",10,8,1,1,1,2,2,2,"china",0.05,0.8,0.26,0.75,"-7.196","9.38","2"
"32",3,2,2,1,2,2,1,2,"china",0.4,0.04,0.32,0.2,"6.796079616","-1.0919424","3"
"33",23,6,1,1,1,2,1,2,"china",0.36,0.86,0.68,0.07,"48.96","-6","1"
"34",29,7,2,1,3,2,1,2,"us",0.66,0.75,0.84,0.67,"64.04","-37.5864","1"
"35",26,9,1,1,1,3,1,2,"china",0.99,0.72,0.26,0.18,"65.3904","-22.66","1"
"36",22,7,2,1,3,2,1,2,"us",0.08,0.96,0.22,0.13,"36.042712","-2.46408896","2"
"37",7,6,2,1,1,2,1,2,"china",0.72,0.89,0.5,0.96,"13.1192104","-3.45136","2"
"38",14,5,1,1,3,2,2,2,"china",0.28,0.94,0.98,0.39,"63.2064","-4.28","1"
"39",17,9,1,1,2,1,2,2,"china",0.51,0.56,0.99,0.79,"66.0712","-13.76","1"
"40",23,7,1,1,3,2,1,2,"china",0.39,0.36,0.68,0.39,"73.8152","-5.41","1"
"41",27,8,1,1,3,1,1,2,"china",0.47,0.25,0.51,0.54,"73.115","-9.61","1"
"42",29,4,2,1,2,2,2,2,"us",0.09,0.94,0.97,0.21,"55.25","-7.105","1"
"43",15,6,1,1,2,3,1,2,"china",0.16,0.22,0.95,0.68,"348.903624867328","-5.4785907712","3"
"44",7,8,1,1,2,3,2,2,"us",0.07,0.61,0.23,0.9,"-22.5188363808","87.651803861312","3"
"45",27,3,1,1,1,1,1,2,"china",0.89,0.79,0.75,0.25,"81.2674","-21.53","1"
"46",3,2,2,1,3,2,2,2,"us",0.38,0.9,0.14,0.07,"1.41402","-0.0609672","2"
"47",5,10,1,1,3,2,2,2,"us",0.13,0.7,0.29,0.25,"10.4327","-0.767002","2"
"48",14,8,1,1,3,3,1,2,"us",0.35,0.92,0.38,0.46,"26.28","-4.438","1"
"49",18,3,2,1,2,1,2,2,"china",0.58,0.4,0.67,0.36,"37.324","-18.16","1"
"50",16,6,2,1,2,2,1,2,"us",0.02,0.01,0.48,0.97,"-436.778284514131","238043.626734644","11"
"51",28,2,2,1,2,3,2,2,"us",0.9,0.02,0.47,0.21,"41.12","-70.756","1"
"52",12,4,1,1,2,1,2,2,"us",0.68,0.76,0.35,0.36,"17.36","-20.8896","1"
"53",21,9,2,1,1,2,1,2,"china",0.72,0.96,0.46,0.96,"34.7388","-9.28","1"
"54",29,3,2,1,2,3,2,2,"china",0.16,0.55,0.22,0.08,"39.12","-6.8","1"
"55",11,1,1,1,1,2,2,2,"us",0.58,0.91,0.96,0.33,"17.92","-17.4672","1"
"56",10,3,1,1,3,1,2,2,"us",0.44,0.99,0.23,0.03,"12.94","-9.3272","1"
"57",28,3,2,1,2,1,1,2,"china",0.71,0.51,0.59,0.93,"52.6902","-16.02","1"
"58",7,4,2,1,1,1,2,2,"us",0.93,0.2,0.69,0.43,"9.015","-13.9079","1"
"59",25,2,2,1,2,2,1,2,"china",0.12,0.41,0.69,0.31,"73.15065472","-4.669392","2"
"60",24,2,2,1,2,3,2,2,"china",0.84,0.23,0.18,0.2,"36.8576","-37.12","1"
"61",18,10,2,1,2,3,2,2,"china",0.55,0.06,0.7,0.64,"31.4376","-13.96","1"
"62",26,7,1,1,2,3,2,2,"china",0.47,0.22,0.54,0.78,"61.8944","-17.76","1"
"63",28,3,1,1,3,2,1,2,"us",0.8,0.1,0.42,0.43,"62.88","-46.584","1"
"64",10,9,1,1,3,3,2,2,"china",0.32,0.76,0.88,0.06,"42.5408","-4.04","1"
"65",18,2,1,1,3,3,1,2,"china",0.03,0.33,0.89,0.35,"3102.44351960463","-16.7935249073805","4"
"66",23,8,1,1,2,3,1,2,"us",0.47,0.08,0.06,0.01,"25.44","-9.8968","1"
"67",13,9,1,1,3,2,1,2,"us",0.42,0.89,0.73,0.3,"37.91","-12.7222","1"
"68",3,2,1,1,3,2,1,2,"us",0.88,0.05,0.61,0.91,"8.29","-1.6552","1"
"69",22,7,2,1,2,3,1,2,"us",0.98,0.1,0.18,0.1,"25.76","-22.6448","1"
"70",23,7,2,1,2,2,1,2,"china",0.95,0.95,0.95,0.9,"60.2875","-16.25","1"
"71",26,8,2,1,2,2,1,2,"china",0.72,0.42,0.2,0.44,"37.4832","-14.96","1"
"72",15,10,1,1,2,2,2,2,"china",0.29,0.23,0.75,0.63,"39.4228","-4.18","1"
"73",10,1,1,1,1,2,1,2,"us",0.19,0.49,0.87,0.81,"29.285588","-0.168633719999998","2"
"74",11,4,1,1,2,2,1,2,"us",0.33,0.36,0.36,0.54,"17.48","-1.6084","1"
"75",28,7,2,1,2,2,2,2,"china",0.63,0.54,0.35,0.9,"53.8272","-29.68","1"
"76",19,6,1,1,2,2,2,2,"us",0.14,0.44,0.89,0.46,"51.06","-10.4568","1"
"77",7,5,2,1,3,2,2,2,"china",0.23,0.56,0.31,0.86,"18.032817838168","-0.436538592800005","3"
"78",19,4,1,1,1,1,1,2,"china",0.39,0.31,0.19,0.88,"24.873","-3.65","1"
"79",23,8,2,1,2,1,1,2,"china",0.48,0.63,0.8,0.8,"46.0872","-7.44","1"
"80",12,7,2,1,2,2,1,2,"us",0.59,0.06,0.29,0.09,"15.36","-6.7024","1"
"81",12,3,2,1,2,2,2,2,"us",0.77,0.8,0.11,0.79,"11.72","-12.8888","1"
"82",12,2,2,1,1,2,1,2,"us",0.07,0.12,0.56,0.91,"-0.70806933063264","679.857036206262","6"
"83",28,9,2,1,2,1,1,2,"china",0.32,0.68,0.69,0.54,"51.3184","-5.88","1"
"84",17,2,1,1,2,2,2,2,"china",0.06,0.19,0.53,0.15,"73.01340032","-3.448864","2"
"85",15,7,2,1,3,1,2,2,"us",0.12,0.58,0.68,0.02,"29.14","-4.9536","1"
"86",17,4,1,1,2,3,1,2,"us",0.05,0.24,0.63,0.16,"84.13784","-2.598132","2"
"87",8,3,2,1,1,2,2,2,"china",0.92,0.63,0.27,0.6,"15.5816","-10.32","1"
"88",9,2,1,1,2,3,2,2,"china",0.8,0.28,0.49,0.91,"21.7064","-6.94","1"
"89",16,7,1,1,1,2,1,2,"us",0.95,0.88,0.58,0.35,"21.76","-17.272","1"
"90",12,6,1,1,1,2,2,2,"china",0.81,0.49,0.56,0.59,"33.4984","-15.08","1"
"91",30,7,1,1,2,1,2,2,"us",0.31,0.85,0.67,0.98,"66.8","-37.456","1"
"92",28,9,1,1,1,3,2,2,"china",0.44,0.45,0.22,0.05,"54.266","-22.34","1"
"93",8,5,1,1,2,3,1,2,"us",0.41,0.05,0.64,0.16,"18.04","-4.4364","1"
"94",20,6,1,1,2,3,1,2,"china",0.55,0.64,0.71,0.47,"56.3104","-6.18","1"
"95",15,2,2,1,2,2,1,2,"china",0.83,0.17,0.67,0.4,"26.5545","-8.85","1"
"96",13,8,1,1,3,2,2,2,"china",0.33,0.3,0.34,0.92,"28","-2.9","1"
"97",23,7,2,1,2,2,2,2,"china",0.75,0.46,0.85,0.02,"57.4632","-32.42","1"
"98",21,8,2,1,3,1,1,2,"china",0.45,0.99,0.02,0.61,"27.7977","-6.23","1"
"99",15,2,2,1,2,2,2,2,"us",0.49,0.28,0.1,0.76,"15.94","-10.5812","1"
"100",10,7,2,1,2,3,2,2,"us",0.56,0.78,0.96,0.54,"18.04","-14.9648","1"
"101",15,4,2,1,2,3,2,2,"us",0.78,0.17,0.13,0.31,"16.61","-22.0516","1"
"102",7,2,1,1,1,1,2,2,"china",0.31,0.91,0.47,0.58,"12.4376","-1.18","1"
"103",11,9,2,1,3,2,1,2,"china",0.58,0.44,0.31,0.72,"16.775","-1.5","1"
"104",8,8,1,1,2,3,1,2,"us",0.41,0.37,0.33,0.01,"11.8","-2.778","1"
"105",16,4,1,1,3,1,1,2,"us",0.66,0.18,0.88,0.22,"57.52","-35.5232","1"
"106",6,8,2,1,1,1,2,2,"china",0.22,0.55,0.71,0.09,"8.383","-0.46","1"
"107",16,4,2,1,2,2,2,2,"us",0.45,0.88,0.03,0.66,"14.72","-8.608","1"
"108",9,5,2,1,1,2,1,2,"us",0.3,0.45,0.06,0.92,"-3.69629400375","52.598168928125","4"
"109",29,7,2,1,2,1,2,2,"china",0.61,0.14,0.25,0.11,"40.8924","-33.16","1"
"110",2,5,2,1,1,3,1,2,"china",0.4,0.58,0.51,0.61,"-0.3088","4.86","1"
"111",8,6,2,1,1,3,1,2,"us",0.25,0.91,0.51,0.36,"-3.48001094325552","21.2810244006043","7"
"112",23,6,1,1,1,3,2,2,"us",0.44,0.3,0.22,0.84,"26.86","-16.5968","1"
"113",14,4,1,1,1,2,1,2,"china",0.75,0.45,0.83,0.47,"31.578","-6.62","1"
"114",7,5,2,1,1,2,2,2,"us",0.87,0.1,0.56,0.17,"8.76","-12.5624","1"
"115",2,10,2,1,3,3,1,2,"china",0.64,0.66,0.91,0.44,"-4.29430342897601","13.1651841536","3"
"116",8,1,2,1,3,2,1,2,"us",0.31,0.15,0.06,0.67,"11.4107493836663","-2.32155288009319","6"
"117",29,8,2,1,3,1,1,2,"us",0.18,0.59,0.15,0.67,"34.345","-2.8421","1"
"118",12,6,1,1,2,2,1,2,"china",0.97,0.03,0.13,0.5,"15.5784","-7.64","1"
"119",18,4,2,1,3,3,2,2,"china",0.44,0.8,0.49,0.29,"40.91","-12.1","1"
"120",19,10,2,1,3,3,1,2,"us",0.43,0.49,0.97,0.43,"45.665","-15.05595","1"
"121",27,8,2,1,3,2,2,2,"china",0.46,0.01,0.45,0.01,"45.453","-22.8","1"
"122",3,6,2,1,2,2,1,2,"china",0.76,0.32,0.61,0.56,"11.317762619072","-2.8713407296","3"
"123",8,5,2,1,2,2,2,2,"china",0.71,0.41,0.08,0.32,"11.9528","-8.08","1"
"124",23,4,2,1,2,2,1,2,"us",0.14,0.72,0.83,0.39,"40.65","-2.131","1"
"125",4,4,2,1,3,3,2,2,"china",0.03,0.72,0.52,0.95,"-17.49070784","28.616072","2"
"126",19,9,2,1,2,1,1,2,"china",0.6,0.46,0.32,0.43,"29.0084","-8.54","1"
"127",25,3,2,1,1,3,2,2,"us",0.17,0.79,0.94,0.73,"35.17","-5.5778","1"
"128",9,8,2,1,2,2,2,2,"china",0.7,0.17,0.21,0.7,"12.216","-7.8","1"
"129",4,9,1,1,2,2,2,2,"china",0.99,0.27,0.56,0.79,"9.9704","-2.76","1"
"130",20,5,1,1,2,1,2,2,"us",0.73,0.59,0.41,0.98,"34.04","-45.7384","1"
"131",22,3,2,1,3,2,1,2,"us",0.29,0.37,0.89,0.03,"50.63","-12.5627","1"
"132",23,2,2,1,3,1,2,2,"china",1,0.72,0.36,0.57,"66.2792","-42.86","1"
"133",5,1,2,1,3,2,2,2,"us",0.03,0.6,0.48,0.24,"77.7434041989331","-1.18668319905701","6"
"134",26,5,1,1,3,2,1,2,"china",0.76,0.82,0.24,0.34,"71.616","-16.4","1"
"135",5,5,1,1,1,2,1,2,"china",0.02,0.57,0.03,0.87,"-0.983199999999999","5.38","1"
"136",21,2,2,1,2,1,2,2,"us",0.25,0.39,0.04,0.53,"21.06","-7.47","1"
"137",2,7,1,1,2,1,1,2,"us",0.63,0.71,0.71,0.56,"7.141191681808","-3.92212990568304","4"
"138",20,4,1,1,2,2,2,2,"us",0.25,0.17,0.27,0.72,"30.12","-10.18","1"
"139",15,4,1,1,2,3,1,2,"china",0.7,0.39,0.53,0.58,"34.8156","-5.02","1"
"140",23,9,1,1,3,2,1,2,"china",0.35,0.57,0.21,0.61,"41.6054","-3.61","1"
"141",24,4,1,1,1,1,1,2,"us",0.81,0.99,0.67,0.28,"36.12","-26.6972","1"
"142",5,9,2,1,2,2,1,2,"us",0.23,0.6,0.44,0.37,"12.87452232","-0.820524621600003","4"
"143",23,7,2,1,1,2,2,2,"china",0.6,0.83,0.66,0.52,"50.1116","-23.52","1"
"144",3,1,2,1,2,2,1,2,"us",0.68,0.34,0.34,0.77,"-7.33887844730043","67.6868320156082","5"
"145",12,2,2,1,2,2,2,2,"us",0.54,0.27,0.87,0.69,"21.9","-18.892","1"
"146",11,6,1,1,1,1,1,2,"us",0.08,0.38,0.78,0.91,"52.4050653184","-0.163641919872003","3"
"147",17,7,2,1,2,2,2,2,"us",0.56,0.04,0.01,0.74,"17.09","-14.1808","1"
"148",10,8,1,1,2,2,2,2,"us",0.75,0.46,0.87,0.78,"25.56","-33.22","1"
"149",4,7,2,1,2,2,1,2,"china",0.74,0.71,0.58,0.33,"12.34369176","-3.890056","2"
"150",22,2,1,1,1,3,2,2,"us",0.05,0.75,0.75,0.46,"60.31","-3.1512","2"
"151",5,7,1,1,2,3,1,2,"us",0.2,0.4,0.24,0.84,"-10.19488","72.163008","3"
"152",14,10,1,1,2,3,1,2,"us",0.32,0.47,0.6,0.87,"28.92","-2.0344","1"
"153",23,5,1,1,1,1,2,2,"china",0.98,0.75,0.57,0.32,"99.77","-42.44","1"
"154",5,3,2,1,2,1,2,2,"china",0.98,0.22,0.23,0.03,"7.8528","-7.74","1"
"155",8,5,1,1,2,1,2,2,"china",0.29,0.69,0.3,0.21,"15.8636","-2.22","1"
"156",3,7,1,1,1,2,1,2,"us",0.57,0.51,0.47,0.04,"2.658618","-0.64158426","2"
"157",4,10,2,1,2,1,1,2,"china",0.79,0.31,0.2,0.58,"4.8","0","1"
"158",24,8,1,1,1,2,1,2,"us",0.91,0.35,0.41,0.21,"32.44","-26.6804","1"
"159",2,5,2,1,1,3,2,2,"china",0.72,0.9,0.86,0.99,"-1.694","5.06","1"
"160",12,5,1,1,2,2,2,2,"us",0.73,0.5,0.99,0.14,"33.76","-46.7296","1"
"161",25,8,2,1,1,2,1,2,"us",0.83,0.43,0.46,0.68,"29.89","-20.0887","1"
"162",29,8,1,1,2,2,1,2,"us",1,0.25,0.33,0.8,"47.14","-41.94","1"
"163",29,10,2,1,2,2,1,2,"us",0.09,0.34,0.9,0.09,"54.42","-2.5378","1"
"164",16,2,2,1,3,2,2,2,"us",0.85,0.74,0.01,0.65,"14.76","-20.492","1"
"165",20,7,2,1,2,2,1,2,"china",0.58,0.54,0.35,0.12,"31.9248","-9.12","1"
"166",3,10,1,1,2,1,2,2,"china",0.76,0.28,0.15,0.69,"4.5608","-1.18","1"
"167",29,5,2,1,2,2,2,2,"us",0.29,0.65,0.72,0.51,"48.58","-24.1364","1"
"168",9,2,2,1,2,3,1,2,"us",0.78,0.18,0.36,0.61,"11.88","-3.6064","1"
"169",29,7,2,1,3,2,2,2,"china",0.47,0.32,0.42,0.38,"54.8668","-23.74","1"
"170",16,6,1,1,1,2,1,2,"china",0.14,0.44,0.44,0.92,"-13.3020221173662","44.6522961900339","4"
"171",6,5,2,1,1,3,1,2,"us",0.29,0.94,0.31,0.23,"-3.46132552667541","8.44907948385068","5"
"172",5,4,2,1,3,1,2,2,"china",0.9,0.73,0.27,0.73,"11.0692","-5.54","1"
"173",20,2,1,1,1,2,1,2,"china",0.17,0.13,0.94,0.68,"75.49603056","-3.422456","2"
"174",13,4,2,1,2,2,2,2,"us",0.64,0.05,0.8,0.99,"23.3","-23.864","1"
"175",6,2,1,1,2,3,1,2,"china",0.67,0.48,0.33,0.33,"9.9984","-0.0400000000000005","1"
"176",18,7,1,1,3,3,2,2,"us",0.97,0.31,0.2,0.81,"27.56","-46.6064","1"
"177",26,8,1,1,1,3,1,2,"china",0.47,0.89,0.54,0.12,"56.95","-9.5","1"
"178",17,4,2,1,3,2,1,2,"us",0.06,0.94,0.52,0.69,"241.141114131408","-2.06294160776076","5"
"179",20,2,2,1,1,2,1,2,"china",0.43,0.79,0.61,0.04,"31.1876","-6.44","1"
"180",20,7,1,1,1,2,2,2,"us",0.39,0.58,0.73,0.03,"32.28","-23.0584","1"
"181",18,9,1,1,3,3,1,2,"us",0.74,0.7,0.95,0.95,"66.5","-41.51","1"
"182",22,5,2,1,1,3,2,2,"china",0.09,0.13,0.39,0.11,"26.459","-1.3","1"
"183",6,9,2,1,1,2,1,2,"us",0.78,0.59,0.99,0.59,"7.79","-1.7162","1"
"184",25,9,1,1,3,3,2,2,"us",0.5,0.06,0.58,0.3,"68.26","-64.46","1"
"185",19,9,2,1,2,2,2,2,"china",0.13,0.68,0.1,0.32,"22.0288","-1.66","1"
"186",4,6,2,1,3,2,2,2,"china",0.27,0.29,0.66,0.49,"14.9328508","-0.452520000000001","2"
"187",28,6,1,1,1,2,1,2,"us",0.37,0.21,0.83,0.25,"50.4","-15.648","1"
"188",3,6,1,1,2,3,1,2,"china",0.71,0.03,0.62,0.77,"-3552.29459501816","113068.096392412","11"
"189",9,6,2,1,1,3,2,2,"china",0.21,0.57,0.82,0.2,"13.0206","-0.58","1"
"190",18,6,2,1,3,3,2,2,"china",0.89,0.3,0.28,0.93,"32.898","-24.46","1"
"191",8,5,2,1,1,1,1,2,"us",0.41,0.15,0.79,0.57,"10.86","-1.3126","1"
"192",27,5,2,1,1,1,2,2,"us",0.11,0.67,0.17,0.97,"27.955","-2.2101","1"
"193",21,7,2,1,1,2,2,2,"us",0.61,0.19,0.26,0.04,"23.35","-26.327","1"
"194",18,8,2,1,3,2,1,2,"us",0.53,0.33,0.53,0.92,"31.65","-11.0945","1"
"195",8,1,1,1,2,2,2,2,"us",0.57,0.33,0.97,0.31,"22.2","-22.068","1"
"196",22,2,1,1,2,3,1,2,"us",0.56,0.73,0.48,0.76,"40.2","-15.952","1"
"197",13,6,2,1,1,3,1,2,"china",0.37,0.11,0.55,0.24,"16.7257","-1.37","1"
"198",18,3,2,1,2,1,2,2,"china",0.23,0.16,0.92,0.19,"35.504","-5.9","1"
"199",12,6,2,1,2,1,1,2,"china",0.3,0.48,0.21,0.78,"14.5392","-0.0399999999999996","1"
"200",5,9,2,1,1,2,2,2,"china",0.52,0.9,0.18,0.28,"7.322","-2.08","1"
"201",4,7,1,1,3,2,1,2,"china",0.06,0.42,0.21,0.13,"137.031861512696","-1.52274305974186","13"
"202",2,5,2,1,1,3,2,2,"china",0.2,0.92,0.65,0.82,"-2.9804","6.12","1"
"203",11,9,2,1,1,3,1,2,"china",0.03,0.89,0.24,0.4,"-14.722362779047","19.0646140223","3"
"204",4,3,1,1,2,1,1,2,"china",0.85,0.45,0.56,0.6,"8.66","-0.2","1"
"205",27,3,2,1,2,1,2,2,"us",0.64,0.64,0.07,0.72,"27.61","-31.9008","1"
"206",22,3,2,1,3,2,1,2,"china",0.31,0.84,0.88,0.61,"53.0392","-2.38","1"
"207",30,10,1,1,2,2,2,2,"us",0.88,0.95,0.84,0.04,"76.6","-132.656","1"
"208",2,2,2,1,2,2,2,2,"china",0.06,0.62,0.66,0.22,"-2.238397186048","5.1159650304","3"
"209",17,6,2,1,2,2,2,2,"us",0.15,0.24,0.5,0.98,"25.02","-1.586","1"
"210",26,4,1,1,3,2,1,2,"china",0.34,0.53,0.45,0.7,"65.3824","-4.04","1"
"211",5,6,1,1,3,2,1,2,"china",0.57,0.5,0.9,0.29,"77.1815","-9.8785","2"
"212",25,8,1,1,1,3,1,2,"us",0.95,0.46,0.92,0.41,"46.16","-39.392","1"
"213",5,5,2,1,2,2,2,2,"us",0.23,0.97,0.91,0.57,"13.779082","-4.67046172","2"
"214",16,5,1,1,2,1,2,2,"us",0.24,0.65,0.08,0.03,"15.96","-5.6008","1"
"215",10,5,1,1,1,2,2,2,"us",0.1,0.35,0.32,0.66,"25.73421552","-1.43445928320002","5"
"216",27,2,1,1,1,3,1,2,"us",0.46,0.62,0.26,0.14,"31.54","-11.6684","1"
"217",6,9,2,1,1,2,1,2,"china",0.86,0.49,0.7,0.1,"9.4524","-2.76","1"
"218",19,6,2,1,2,1,2,2,"us",0.7,0.13,0.77,0.33,"33.37","-44.058","1"
"219",17,3,2,1,2,3,2,2,"china",0.91,0.8,0.46,0.15,"47.252","-28.04","1"
"220",29,5,1,1,2,1,2,2,"us",0.41,0.52,0.05,0.42,"29.82","-21.6124","1"
"221",19,7,2,1,3,3,1,2,"china",0.92,0.5,0.83,0.29,"49.525","-13.74","1"
"222",26,7,1,1,2,1,2,2,"china",0.46,0.76,0.58,0.62,"87.5936","-20.68","1"
"223",27,9,2,1,2,3,2,2,"china",0.22,0.64,0.25,0.23,"39.19","-8.5","1"
"224",19,5,1,1,2,2,2,2,"us",0.66,0.56,0.7,0.63,"43.36","-52.7152","1"
"225",23,3,1,1,1,2,1,2,"us",0.85,0.6,0.17,0.55,"24.51","-16.6335","1"
"226",4,6,1,1,1,1,2,2,"china",0.6,0.07,0.18,0.42,"4.9944","-1.96","1"
"227",19,10,1,1,1,2,1,2,"china",0.83,0.87,0.78,0.53,"54.091","-11.65","1"
"228",3,6,1,1,3,1,1,2,"china",1,0.37,0.41,0.75,"18.1229","-5.445","2"
"229",29,8,2,1,2,2,1,2,"china",0.49,0.78,0.22,0.7,"42.7198","-9.41","1"
"230",5,3,1,1,2,2,1,2,"us",0.06,0.3,0.89,0.39,"91.7059312","-0.228557632","3"
"231",19,7,1,1,3,3,2,2,"china",0.16,0.4,0.51,0.42,"49.318","-1.56","1"
"232",22,9,2,1,3,2,1,2,"china",0.93,0.13,0.17,0.64,"29.677","-15.9","1"
"233",21,5,2,1,3,2,2,2,"us",0.69,0.26,0.6,0.74,"39.38","-49.3844","1"
"234",9,3,1,1,1,2,1,2,"us",0.89,0.84,0.47,0.75,"9.87","-3.7843","1"
"235",6,7,1,1,1,2,2,2,"us",0.07,0.52,0.93,0.38,"29.32016344","-1.2776222416","3"
"236",9,1,1,1,3,2,2,2,"us",0.51,0.24,0.43,0.9,"19.65","-14.443","1"
"237",28,9,2,1,3,3,2,2,"china",0.55,0.07,0.77,0.21,"62.2678","-27.54","1"
"238",11,8,2,1,3,2,1,2,"us",0.26,0.71,0.65,0.05,"20.305","-3.0793","1"
"239",22,2,1,1,2,2,2,2,"us",0.58,0.66,0.74,0.85,"51.92","-54.8272","1"
"240",18,7,1,1,2,2,2,2,"us",0.71,0.82,0.67,0.46,"38.84","-51.3128","1"
"241",26,8,1,1,2,2,2,2,"us",0.63,0.38,0.86,0.63,"69.2","-82.672","1"
"242",14,3,1,1,2,1,1,2,"us",0.3,0.96,0.98,0.29,"37.6","-8.7","1"
"243",16,6,1,1,3,3,2,2,"china",0.08,0.73,0.16,0.94,"-0.463556480000005","16.803488","2"
"244",8,8,1,1,3,1,2,2,"us",0.24,0.92,0.97,0.1,"27.6","-11.048","1"
"245",6,1,2,1,2,1,1,2,"china",0.53,0.53,0.81,0.85,"21.62106196","-4.647732","2"
"246",19,1,1,1,2,2,1,2,"us",0.35,0.74,0.3,0.63,"27.44","-5.084","1"
"247",11,5,1,1,1,1,2,2,"china",0.19,0.67,0.4,0.67,"16.5256","-0.84","1"
"248",11,9,2,1,1,1,1,2,"china",0.5,0.35,0.59,0.83,"14.889","-1.84","1"
"249",7,3,1,1,1,2,1,2,"china",0.93,0.11,0.31,0.65,"9.5902","-1.91","1"
"250",26,9,2,1,1,1,2,2,"us",0.04,0.93,0.46,0.49,"36.517128","-2.07147424","2"
"251",26,2,2,1,3,3,1,2,"china",0.25,0.35,0.36,0.32,"40.943","-2.58","1"
"252",6,6,1,1,1,2,1,2,"china",0.89,0.81,0.75,0.24,"14.3556","-2.38","1"
"253",25,8,2,1,1,1,2,2,"china",0.92,0.11,0.42,0.2,"35.046","-43.6","1"
"254",7,2,2,1,2,2,1,2,"us",0.53,0.12,0.05,0.55,"7.413696","-3.02268888","2"
"255",13,4,1,1,2,2,1,2,"china",0.16,0.97,0.63,0.05,"74.66388288","-4.531552","2"
"256",10,7,2,1,3,3,1,2,"china",0.81,0.87,0.66,0.3,"23.641","-4.3","1"
"257",9,4,2,1,2,2,1,2,"china",0.36,0.18,0.06,0.8,"10.3820747685249","-0.234490370375669","4"
"258",18,3,2,1,2,3,2,2,"china",0.51,0.9,0.41,0.86,"35.46","-11.2","1"
"259",14,8,1,1,2,3,1,2,"china",0.11,0.09,0.43,0.85,"-303.764386697755","2339.72020507719","6"
"260",10,6,1,1,3,2,2,2,"us",0.43,0.82,0.8,0.12,"30.72","-23.9392","1"
"261",12,6,1,1,3,2,2,2,"china",0.54,0.4,0.9,0.53,"51.472","-8.84","1"
"262",15,3,1,1,3,1,1,2,"us",0.68,0.14,0.72,0.34,"46.84","-29.1712","1"
